name,has_website,official_url,official_title,relevant_links,justdial_com,indiamart_com,cardekho_com,carwale_com,cars24_com,olx_in,sulekha_com,yellowpages_in,total_referral_links,lead_score,lead_category,lead_reason,extracted_phone
Pratap Motors Maruti Suzuki Vijay Nagar Indore,True,https://www.arenaofvijaynagar.com/,"Patel Motors Maruti Suzuki ARENA Car Showroom in Vijay Nagar, Indore","[{'name': 'Pratap Motors Maruti Suzuki Vijay Nagar Indore', 'title': 'Car Dealers Maruti Suzuki Authorised in Vijay Nagar, Indore - Maruti ...', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Maruti-Suzuki-Authorised-in-Vijay-Nagar/nct-10983547', 'domain': 'justdial.com', 'snippet': 'Discover top Maruti Suzuki showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Car Dealers Maruti Suzuki Authorised near you in Vijay Nagar, Indore on Justdial.', 'type': 'referral'}, {'name': 'Pratap Motors Maruti Suzuki Vijay Nagar Indore', 'title': 'Car Dealers Maruti Suzuki in Dewar Road Vijay Nagar, Indore - Maruti ...', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Maruti-Suzuki-in-Dewar-Road-Vijay-Nagar/nct-10983546', 'domain': 'justdial.com', 'snippet': 'Discover top Maruti Suzuki showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Car Dealers Maruti Suzuki near you in Dewar Road Vijay Nagar, Indore on Justdial.', 'type': 'referral'}, {'name': 'Pratap Motors Maruti Suzuki Vijay Nagar Indore', 'title': 'Maruti Showrooms in Indore | 13 Maruti Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/maruti-suzuki/indore/', 'domain': 'carwale.com', 'snippet': 'Maruti Suzuki has 13 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}, {'name': 'Pratap Motors Maruti Suzuki Vijay Nagar Indore', 'title': 'Maruti Suzuki cars dealers and showrooms in Indore', 'url': 'https://www.cardekho.com/Maruti/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': 'Looking for a Maruti Suzuki Car Showroom in Indore? Find Dealer location, contact info and directions to 20 dealers to plan your visit to Maruti Suzuki Showroom.', 'type': 'referral'}]",2,0,1,1,0,0,0,0,4,10,Strong Online Presence,Business has an official website - lower digital opportunity,8071646628.0
Sai Service Maruti Suzuki AB Road Indore,True,https://www.carz4sale.in/new-car-showrooms/dealer/mg/madhya-pradesh/indore/3683/mg-indore,"MG Indore, Indore : 1/2-Anoop Nagar, AB Road - Carz4Sale","[{'name': 'Sai Service Maruti Suzuki AB Road Indore', 'title': 'Maruti FRONX Price, Images, colours, Reviews & Specs', 'url': 'https://www.zigwheels.com/maruti-suzuki-cars/fronx', 'domain': 'zigwheels.com', 'snippet': 'Maruti FRONX ex-showroom price in Delhi starts at Rs 6.85 Lakh. Check the key specs, features of FRONX and on-road price in your city. Also explore all the 14 variants to know available choices in engine cc, transmission and fuel type.', 'type': 'referral'}, {'name': 'Sai Service Maruti Suzuki AB Road Indore', 'title': 'Maruti Suzuki Fronx - On Road Price In Mumbai April 2026 | V3Cars', 'url': 'https://www.v3cars.com/maruti-nexa-cars/fronx/on-road-price-in-mumbai', 'domain': 'v3cars.com', 'snippet': 'Fronx On-road price in Mumbai includes (Ex-Showroom + RTO + Taxes + Insurance & Handling charges) April 2026.', 'type': 'official_or_other'}, {'name': 'Sai Service Maruti Suzuki AB Road Indore', 'title': 'Best Maruti Suzuki Car Cleaning Service in Indore - GoMechanic', 'url': 'https://gomechanic.in/indore/car-cleaning-service/maruti-suzuki', 'domain': 'gomechanic.in', 'snippet': 'Book Maruti Suzuki Car Cleaning and Washing at Best Service Centers and Garages near you in Indore. Rubbing Polishing, Ceramic Coating, Dry Cleaning, all services available.', 'type': 'official_or_other'}, {'name': 'Sai Service Maruti Suzuki AB Road Indore', 'title': 'DLSA Indore Vehicle Driver Recruitment 2026 - Apply Offline', 'url': 'https://www.freejobalert.com/articles/dlsa-indore-vehicle-driver-recruitment-2026-apply-offline-3052752', 'domain': 'freejobalert.com', 'snippet': 'District Legal Services Authority Indore (DLSA Indore) Recruitment 2026 for 1 post of Vehicle Driver. Candidates Can Apply Offline.', 'type': 'official_or_other'}]",0,0,0,0,0,0,0,0,0,25,Low Priority,Business has an official website - lower digital opportunity,8929409828.0
Mandovi Motors Maruti Suzuki Palasia Indore,True,https://mandovi.in/,Best Maruti Suzuki Car Showroom to buy a car | Mandovi.in,"[{'name': 'Mandovi Motors Maruti Suzuki Palasia Indore', 'title': '79 Maruti Suzuki Car Showrooms in Bangalore - Find Contact...', 'url': 'https://www.cardekho.com/Maruti/Bangalore/cardealers', 'domain': 'cardekho.com', 'snippet': 'There are 18 Maruti Suzuki Nexa showrooms in Bangalore and 61 Maruti Suzuki Arena showrooms in Bangalore. For more information on Maruti Suzuki Cars Price, Offers, EMI options and test drive contact the below mentioned dealers in Bangalore.', 'type': 'referral'}, {'name': 'Mandovi Motors Maruti Suzuki Palasia Indore', 'title': 'Mandovi Motors Best Maruti Suzuki Car Dealers - Mandovi... - Click.in', 'url': 'https://www.click.in/bangalore/mandovi-motors-best-maruti-suzuki-car-dealers-c127-v49619653', 'domain': 'click.in', 'snippet': 'We Are the First and Largest Dealership of Maruti Suzuki Cars in India, Mandovi Motors is an authorized Maruti Suzuki Dealership in India since 2006.', 'type': 'official_or_other'}, {'name': 'Mandovi Motors Maruti Suzuki Palasia Indore', 'title': 'Mandovi Motors Mangalore | Park+', 'url': 'https://parkplus.io/car-dealer-showrooms/maruti-suzuki/mangalore/mandovi-motors-5687', 'domain': 'parkplus.io', 'snippet': ""ind reliable car offers and deals at Mandovi Motors in Mangalore. Book your car's service or purchase with ease through our trusted dealership."", 'type': 'official_or_other'}, {'name': 'Mandovi Motors Maruti Suzuki Palasia Indore', 'title': 'Mandovi Motors | Best Maruti Suzuki Car Dealers - Adsthumb', 'url': 'https://www.adsthumb.com/mandovi-motors-best-maruti-suzuki-car-dealers_139979', 'domain': 'adsthumb.com', 'snippet': 'India. Vehicles. Cars. Mandovi Motors | Best Maruti Suzuki Car Dealers.Location: Bengaluru. Price: Contact us. We Are the First and Largest Dealership of Maruti Suzuki Cars in India, Mandovi Motors is an authorized Maruti Suzuki Dealership in India since 2006.', 'type': 'official_or_other'}]",0,0,1,0,0,0,0,0,1,20,Strong Online Presence,Business has an official website - lower digital opportunity,8062216253.0
Capital Motors Maruti Suzuki Nexa Indore,True,https://www.nexaexperience.com/connect-to-dealer,"Maruti Suzuki Nexa Showroom Locator: Explore NEXA hatchbacks, SUVs and ...","[{'name': 'Capital Motors Maruti Suzuki Nexa Indore', 'title': 'Maruti Showrooms in Indore | 13 Maruti Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/maruti-suzuki/indore/', 'domain': 'carwale.com', 'snippet': 'Maruti Suzuki has 13 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}, {'name': 'Capital Motors Maruti Suzuki Nexa Indore', 'title': 'Nexa Indore in Tower Chowk,Indore - Best Maruti Suzuki-Car Dealers near ...', 'url': 'https://www.justdial.com/Indore/Nexa-Indore-Tower-Chowk/0731PX731-X731-230111235511-N3L1_BZDET', 'domain': 'justdial.com', 'snippet': 'Nexa Indore in Tower Chowk,Indore listed under Maruti Suzuki-Car Dealers in Indore. Rated 4.7 based on 11 Customer Reviews and Ratings with 61 Photos. Visit Justdial for Address, Contact Number, Reviews & Ratings, Photos, Maps of Nexa Indore, Tower Chowk, Indore.', 'type': 'referral'}, {'name': 'Capital Motors Maruti Suzuki Nexa Indore', 'title': 'Maruti Suzuki cars dealers and showrooms in Indore - CarDekho', 'url': 'https://www.cardekho.com/Maruti/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': 'Looking for a Maruti Suzuki Car Showroom in Indore? Find Dealer location, contact info and directions to 20 dealers to plan your visit to Maruti Suzuki Showroom.', 'type': 'referral'}, {'name': 'Capital Motors Maruti Suzuki Nexa Indore', 'title': 'Maruti Suzuki Car Dealers in Indore - Maruti Suzuki New Car Showrooms ...', 'url': 'https://www.justdial.com/Indore/Maruti-Car-Dealers/nct-10983546', 'domain': 'justdial.com', 'snippet': '37 Maruti Suzuki Car Dealers in Indore. Discover top Maruti Suzuki showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Maruti Suzuki Car Dealers near you in Indore on Justdial.', 'type': 'referral'}]",2,0,1,1,0,0,0,0,4,10,Strong Online Presence,Business has an official website - lower digital opportunity,8062511963.0
Pratap Nexa Showroom Indore,True,https://www.nexaofringroadindore.com/,"Patel Motors NEXA Car Showroom in NEXA Ring Road Indore, Indore","[{'name': 'Pratap Nexa Showroom Indore', 'title': 'Patel Nexa Showroom in Ring Road, Indore | Maruti Showroom ...', 'url': 'https://nexa.patelmotors.com/outlet/showroom-ring-road-indore.html', 'domain': 'nexa.patelmotors.com', 'snippet': 'Patel Nexa Ring Road sells Maruti vehicles in Ring Road, Indore. Find Contact Details, Phone number, Address and Map location of Maruti dealers near me.', 'type': 'official_or_other'}, {'name': 'Pratap Nexa Showroom Indore', 'title': 'Patel Nexa Showroom | Maruti Dealers', 'url': 'https://nexa.patelmotors.com/outlet/showroom.html', 'domain': 'nexa.patelmotors.com', 'snippet': 'Locate Patel Nexa Showroom. Find Contact details, Phone number, Address and Map location for all Maruti Showroom of Patel Nexa.', 'type': 'official_or_other'}, {'name': 'Pratap Nexa Showroom Indore', 'title': 'Patel Motors NEXA Car Showroom in Neemuch, Indore', 'url': 'https://www.nexaofneemuch.com/', 'domain': 'nexaofneemuch.com', 'snippet': 'Visit Patel Motors NEXA showroom in Neemuch, Indore for E-Vitara, XL6, Fronx, Baleno, Invicto, Grand Vitara & Jimny. Check on-road prices, features, offers & book a test drive now.', 'type': 'official_or_other'}, {'name': 'Pratap Nexa Showroom Indore', 'title': 'NEXA (Patel Motors, Indore, Ring Road) - 18.A velocity, Ring ...', 'url': 'https://www.cybo.com/IN-biz/nexa-patel-motors-indore-ring-road', 'domain': 'cybo.com', 'snippet': 'NEXA (Patel Motors, Indore, Ring Road) is working in New car dealers, Car repair, Automotive activities. You can contact the company at 089292 68062. You can find more information about NEXA (Patel Motors, Indore, Ring Road) at www.nexaofringroadindore.com.', 'type': 'official_or_other'}]",0,0,0,0,0,0,0,0,0,25,Low Priority,Business has an official website - lower digital opportunity,8062511963.0
Maruti Suzuki True Value Bhawarkuan Indore,True,https://www.marutisuzuki.com/true-value-showroom-in-indore,Maruti Suzuki True Value Showrooms and Dealers In Indore,"[{'name': 'Maruti Suzuki True Value Bhawarkuan Indore', 'title': 'True Value - Ktl Automobile Pvt Ltd, Bhawar Kuan, Indore ...', 'url': 'https://www.justdial.com/Indore/True-Value-Ktl-Automobile-Pvt-Ltd-In-Front-Of-Omaxe-2-Bhawar-Kuan/0731PX731-X731-240319160252-M5N1_BZDET', 'domain': 'justdial.com', 'snippet': 'Find Address, Contact Number, Reviews & Ratings, Photos, Maps of True Value - Ktl Automobile Pvt Ltd, Indore. True Value is a renowned American hardware retail cooperative with a rich history spanning over seven decades.', 'type': 'referral'}, {'name': 'Maruti Suzuki True Value Bhawarkuan Indore', 'title': 'True Value - Patel Motors in Bhawar Kuan,Indore - Maruti ...', 'url': 'https://www.justdial.com/Indore/True-Value-Patel-Motors-Bhawar-Kuan/0731PX731-X731-240320120023-N1M4_BZDET', 'domain': 'justdial.com', 'snippet': 'Find Address, Contact Number, Reviews & Ratings, Photos, Maps of True Value - Patel Motors, Indore. True Value is a renowned American hardware retail cooperative with a rich history spanning over seven decades.', 'type': 'referral'}, {'name': 'Maruti Suzuki True Value Bhawarkuan Indore', 'title': 'Buy Used Cars in Indore - Second-Hand Cars at Best Price ...', 'url': 'https://www.marutisuzukitruevalue.com/used-cars-in-indore', 'domain': 'marutisuzukitruevalue.com', 'snippet': 'Discover a wide range of used cars in Indore including top-notch second hand car models, at the right prices. Find your best old Maruti Suzuki and book now.', 'type': 'official_or_other'}, {'name': 'Maruti Suzuki True Value Bhawarkuan Indore', 'title': 'Maruti Showrooms in Indore | 13 Maruti Dealers in Indore', 'url': 'https://www.carwale.com/dealer-showrooms/maruti-suzuki/indore/', 'domain': 'carwale.com', 'snippet': 'Maruti Suzuki has 13 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}]",2,0,0,1,0,0,0,0,3,15,Strong Online Presence,Business has an official website - lower digital opportunity,8037580720.0
Sai Service Maruti Suzuki Rau Indore,True,https://www.marutisuzuki.com/maruti-authorized-service-station-in-indore,Maruti Suzuki Authorised Service Center In Indore,"[{'name': 'Sai Service Maruti Suzuki Rau Indore', 'title': 'Maruti Showrooms in Indore | 13 Maruti Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/maruti-suzuki/indore/', 'domain': 'carwale.com', 'snippet': 'Maruti Suzuki has 13 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}, {'name': 'Sai Service Maruti Suzuki Rau Indore', 'title': '20 Maruti Suzuki Car Showrooms in Indore - Find Contact ... - CarDekho', 'url': 'https://www.cardekho.com/Maruti/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': 'Looking for a Maruti Suzuki Car Showroom in Indore? Find Dealer location, contact info and directions to 20 dealers to plan your visit to Maruti Suzuki Showroom.', 'type': 'referral'}, {'name': 'Sai Service Maruti Suzuki Rau Indore', 'title': 'Maruti Suzuki Car Dealers in Indore - Maruti Suzuki New Car Showrooms ...', 'url': 'https://www.justdial.com/Indore/Maruti-Car-Dealers/nct-10983546', 'domain': 'justdial.com', 'snippet': '37 Maruti Suzuki Car Dealers in Indore. Discover top Maruti Suzuki showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Maruti Suzuki Car Dealers near you in Indore on Justdial.', 'type': 'referral'}, {'name': 'Sai Service Maruti Suzuki Rau Indore', 'title': '20 Maruti Car Showrooms in Indore, Maruti Dealers in Indore - Find ...', 'url': 'https://www.zigwheels.com/dealers/maruti-suzuki/Indore', 'domain': 'zigwheels.com', 'snippet': 'Find Maruti Car showrooms in Indore. Check the list of Maruti dealerships in Indore with dealer location, contact details and directions.', 'type': 'referral'}]",1,0,1,1,0,0,0,0,3,10,Strong Online Presence,Business has an official website - lower digital opportunity,9816135335.0
Mandovi Nexa Showroom Indore,True,https://mandovi.in/,Best Maruti Suzuki Car Showroom to buy a car | Mandovi.in,"[{'name': 'Mandovi Nexa Showroom Indore', 'title': 'Maruti Showrooms in Indore | 13 Maruti Dealers in Indore', 'url': 'https://www.carwale.com/dealer-showrooms/maruti-suzuki/indore/', 'domain': 'carwale.com', 'snippet': ""No 10, khedi Patwari Halka, 77/3/8 Hukuma, near Ips Academy, Rau. Indore, Indore, Madhya Pradesh 452012 ... NEXA comes under the Maruti Suzuki umbrella brand. NEXA is Maruti Suzuki's premium sales channel ... Arena and Nexa both are showroom brands under Maruti Suzuki brand name."", 'type': 'referral'}, {'name': 'Mandovi Nexa Showroom Indore', 'title': 'Contact Us for Best Car Deals & Services | Mandovi.in', 'url': 'https://mandovi.in/contact', 'domain': 'mandovi.in', 'snippet': 'Experience the opulence of the Maruti Suzuki XL6 at Mandovi. Exceptional deals and top-notch service are just a click away. Dive in now!', 'type': 'official_or_other'}, {'name': 'Mandovi Nexa Showroom Indore', 'title': 'Mandovi Motors,Your Maruti Showroom Nearby', 'url': 'https://mandovi.in/blog/mandovi-motorsyour-maruti-showroom-nearby-a-hub-of-top-quality-vehicles-and-services', 'domain': 'mandovi.in', 'snippet': 'Explore the Latest Maruti Models with Maruti Dealer at Basavangudi · Expert Tips on Choosing Your Perfect Car at Maruti Suzuki Car Showroom at Chamarajpet · Insider Tips for First-Time Buyers at Maruti Car Showroom at Basavanagudi · Nexa Showroom at Kolar: Where Dream Cars Become Reality', 'type': 'official_or_other'}, {'name': 'Mandovi Nexa Showroom Indore', 'title': 'Nexa - Mandovi Motors Bangalore | Maruti Bangalore Dealer | Vicky.in', 'url': 'https://www.vicky.in/dealer/car/maruti/bangalore/nexa-mandovi-motors/', 'domain': 'vicky.in', 'snippet': '* Nexa - Mandovi Motors Maruti Showroom may present in one or more location. Some Nexa - Mandovi Motors Maruti dealer may not sell all Maruti models.', 'type': 'official_or_other'}]",0,0,0,1,0,0,0,0,1,20,Strong Online Presence,Business has an official website - lower digital opportunity,8062217184.0
Sagar Motors Hyundai AB Road Indore,True,https://mapcarta.com/N5847739485,"Mahindra Motors, Sagar Automobiles Pvt Ltd, In front of... - Mapcarta","[{'name': 'Sagar Motors Hyundai AB Road Indore', 'title': 'Tata dealers and showrooms in Noida | Sagar Motors', 'url': 'https://www.sagarmotorsindia.com/', 'domain': 'sagarmotorsindia.com', 'snippet': 'Sagar Motors is the best Tata Dealer and has authorized Tata Showroom(s) across Noida. Visit our network of Tata Showroom(s) for best prices and offers.', 'type': 'official_or_other'}, {'name': 'Sagar Motors Hyundai AB Road Indore', 'title': 'Landmark Motors, Indore : UG1 Onam Plaza, Old Palasia, AB Road', 'url': 'https://www.carz4sale.in/new-car-showrooms/dealer/honda/madhya-pradesh/indore/1706/landmark-motors', 'domain': 'carz4sale.in', 'snippet': 'Honda Showrooms in Indore ››. Landmark Motors. Honda Car Showroom.For adding or editing the information given in this page OR to upload photos of the Dealership, please send us an email with details.', 'type': 'official_or_other'}, {'name': 'Sagar Motors Hyundai AB Road Indore', 'title': 'Tata Motors Cars Showroom - Sagar Motors, Sector 5, Sector...', 'url': 'https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-sagar-motors-sector-5-car-dealer-sector-5-noida-77023/Contact-Us', 'domain': 'dealer-locator.cars.tatamotors.com', 'snippet': 'Car Dealers in Sector 5.TATA Motors Dealers Popular Cities', 'type': 'official_or_other'}, {'name': 'Sagar Motors Hyundai AB Road Indore', 'title': 'Hyundai CRETA Summer edition, King Limited Edition car Price...', 'url': 'https://www.hyundai.com/in/en/find-a-car/creta/highlights', 'domain': 'hyundai.com', 'snippet': 'Hyundai CRETA Car Price starting from Rs.10.79 Lakh*. Check price, features, images, variant options & design online.', 'type': 'official_or_other'}]",0,0,0,0,0,0,0,0,0,25,Low Priority,Business has an official website - lower digital opportunity,7219821111.0
Krishna Hyundai Vijay Nagar Indore,True,https://shrimotors.com/,Shri Motors – A Used Car Showroom,"[{'name': 'Krishna Hyundai Vijay Nagar Indore', 'title': 'Popular Hyundai Car Showrooms in Vijay Nagar, Indore', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Hyundai-in-Vijay-Nagar/nct-10076066', 'domain': 'justdial.com', 'snippet': 'Hyundai Car Dealers in Vijay Nagar, Indore. Discover top Hyundai showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Hyundai Car Dealers near you in Vijay Nagar, Indore on Justdial.', 'type': 'referral'}, {'name': 'Krishna Hyundai Vijay Nagar Indore', 'title': 'Hyundai Authorised Car Dealers in Vijay Nagar, Indore - Hyundai New Car ...', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Hyundai-Authorised-in-Vijay-Nagar/nct-10915553', 'domain': 'justdial.com', 'snippet': 'Discover top Hyundai showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Hyundai Authorised Car Dealers near you in Vijay Nagar, Indore on Justdial.', 'type': 'referral'}, {'name': 'Krishna Hyundai Vijay Nagar Indore', 'title': 'Hyundai Showrooms in Indore | 5 Hyundai Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/hyundai/indore/', 'domain': 'carwale.com', 'snippet': 'Locate 5 dealers of Hyundai in Indore, find addresses and contact numbers, or get assistance from CarWale in contacting the showroom directly for more information on Hyundai car prices, offers ...', 'type': 'referral'}, {'name': 'Krishna Hyundai Vijay Nagar Indore', 'title': 'Hyundai Car Dealers in Indore | 4 Hyundai Showrooms', 'url': 'https://parkplus.io/car-dealer-showrooms/hyundai/indore', 'domain': 'parkplus.io', 'snippet': 'Looking for a Hyundai Showroom in Indore? Find Dealer location, contact info and directions to nearest dealers to plan your visit to Hyundai Showroom.', 'type': 'official_or_other'}]",2,0,0,1,0,0,0,0,3,15,Strong Online Presence,Business has an official website - lower digital opportunity,7949108456.0
